comparison,recipe,population,status,evaluation_semantics,reason,run_count,actionable_episode_count,actionable_recall,normal_run_fp,normal_contact_episode_fp,too_early,affected_foot_accuracy,previous_recipe,current_recipe,stage_order,stage,previous_stage_contract,current_stage_contract
A,previous_S4_C,previous_development_120,EXACT_STORED_DEVELOPMENT_RESULT_HASH_VERIFIED,previous S4-C 10ms-endpoint operational semantics,stored result is exact but cannot be converted to current 1kHz corrected-R4 semantics from the retained aggregate artifacts,120,170,0.5588235294117647,0,0,8,0.8272727272727273,200ms S3 + width40 projection + LBFGS state/foot/proposal heads + persistence2,50ms Fusion20/delta/stat + width12 projection + diagonal Gaussian state head + persistence grid,,,,
B,previous_S4_C,augmented_eligible_333,EXACT_COMPARISON_IMPOSSIBLE_NOT_FABRICATED,unavailable,frozen previous DevelopmentData asserts exactly 120 runs and requires legacy terrain/role metadata; extending it to targeted v5/v7/v8 rows would modify the previous recipe and mapping contract,,,,,,,,200ms S3 + width40 projection + LBFGS state/foot/proposal heads + persistence2,50ms Fusion20/delta/stat + width12 projection + diagonal Gaussian state head + persistence grid,,,,
C,current_R1_seed_202608231,previous_development_120,EXACT_COMPARISON_IMPOSSIBLE_NOT_FABRICATED,unavailable,"R1 was declared and frozen only on the 333-run v8 population; fitting it on 120 rows would be a new undeclared training job, which this audit prohibits",,,,,,,,200ms S3 + width40 projection + LBFGS state/foot/proposal heads + persistence2,50ms Fusion20/delta/stat + width12 projection + diagonal Gaussian state head + persistence grid,,,,
D,current_R1_seed_202608231,augmented_eligible_333,EXACT_CURRENT_RECIPE_REPLAY,stored v3 corrected-R4 labels and 1kHz state semantics,all declared R1 folds reproduced exactly,333,471,0.012738853503184714,0,57,2,1.0,200ms S3 + width40 projection + LBFGS state/foot/proposal heads + persistence2,50ms Fusion20/delta/stat + width12 projection + diagonal Gaussian state head + persistence grid,,,,
FIRST_DIVERGENCE,contract comparison,n/a,MATERIAL_DIVERGENCE_BEFORE_NORMALIZATION,source-level exact comparison,"R1 is not an architectural reproduction of S4-C: history, features, width, optimizer, heads, verifier, threshold and persistence all changed",,,,,,,,200ms S3 + width40 projection + LBFGS state/foot/proposal heads + persistence2,50ms Fusion20/delta/stat + width12 projection + diagonal Gaussian state head + persistence grid,,,,
PIPELINE_STAGE,,,OBSERVED_POPULATION_DIVERGENCE,contract-level only; common-metric B/C fits are prohibited or unavailable,no numeric A-D parity is claimed without common evaluation semantics,,,,,,,,,,1,eligible_samples,120-run development,333-run augmented eligible
PIPELINE_STAGE,,,SEMANTICS_DIVERGE,contract-level only; common-metric B/C fits are prohibited or unavailable,no numeric A-D parity is claimed without common evaluation semantics,,,,,,,,,,2,labels,10ms endpoint operational labels,1kHz corrected-R4 per-foot contact labels
PIPELINE_STAGE,,,RECIPE_DIVERGENCE,contract-level only; common-metric B/C fits are prohibited or unavailable,no numeric A-D parity is claimed without common evaluation semantics,,,,,,,,,,3,normalization,weighted projected S3 features,inner-fold-only raw R1 features
PIPELINE_STAGE,,,RECIPE_DIVERGENCE,contract-level only; common-metric B/C fits are prohibited or unavailable,no numeric A-D parity is claimed without common evaluation semantics,,,,,,,,,,4,causal_windows,200ms S3 dual-timescale,50ms Fusion20 delta/stat
PIPELINE_STAGE,,,RECIPE_DIVERGENCE,contract-level only; common-metric B/C fits are prohibited or unavailable,no numeric A-D parity is claimed without common evaluation semantics,,,,,,,,,,5,raw_model_output,width40 LBFGS logits,width12 diagonal-Gaussian scores
PIPELINE_STAGE,,,RECIPE_DIVERGENCE,contract-level only; common-metric B/C fits are prohibited or unavailable,no numeric A-D parity is claimed without common evaluation semantics,,,,,,,,,,6,four_state_probabilities,LBFGS state head,Gaussian state head
PIPELINE_STAGE,,,RECIPE_DIVERGENCE,contract-level only; common-metric B/C fits are prohibited or unavailable,no numeric A-D parity is claimed without common evaluation semantics,,,,,,,,,,7,actionable_proposal,separate proposal head,state actionable probability
PIPELINE_STAGE,,,RECIPE_DIVERGENCE,contract-level only; common-metric B/C fits are prohibited or unavailable,no numeric A-D parity is claimed without common evaluation semantics,,,,,,,,,,8,timing_verifier,two-stage causal verifier,normal/early margin verifier
PIPELINE_STAGE,,,RECIPE_DIVERGENCE,contract-level only; common-metric B/C fits are prohibited or unavailable,no numeric A-D parity is claimed without common evaluation semantics,,,,,,,,,,9,foot_verifier,separate learned foot head,no learned foot head
